timestamp,user_id,campaign_id,event_type
2024-03-20T14:28:25.553773,user_64,campaign_9,click
2024-03-20T14:28:25.553794,user_67,campaign_5,click
2024-03-20T14:28:25.553797,user_95,campaign_2,click
2024-03-20T14:28:25.553801,user_25,campaign_5,click
2024-03-20T14:28:25.553806,user_3,campaign_17,click
2024-03-20T14:28:25.553808,user_67,campaign_15,click
2024-03-20T14:28:25.553810,user_76,campaign_4,click
2024-03-20T14:28:25.553813,user_57,campaign_15,click
2024-03-20T14:28:25.553816,user_78,campaign_5,conversion
2024-03-20T14:28:25.553818,user_98,campaign_5,click
2024-03-20T14:28:25.553820,user_99,campaign_4,conversion
2024-03-20T14:28:25.553822,user_70,campaign_20,click
2024-03-20T14:28:25.553824,user_55,campaign_17,conversion
2024-03-20T14:28:25.553826,user_45,campaign_19,click
2024-03-20T14:28:25.553827,user_10,campaign_13,conversion
2024-03-20T14:28:25.553829,user_99,campaign_8,click
2024-03-20T14:28:25.553831,user_56,campaign_12,conversion
2024-03-20T14:28:25.553832,user_39,campaign_7,conversion
2024-03-20T14:28:25.553834,user_38,campaign_6,click
2024-03-20T14:28:25.553836,user_29,campaign_5,conversion
2024-03-20T14:28:25.553838,user_82,campaign_1,click
2024-03-20T14:28:25.553839,user_18,campaign_18,click
2024-03-20T14:28:25.553841,user_11,campaign_20,conversion
2024-03-20T14:28:25.553843,user_95,campaign_11,click
2024-03-20T14:28:25.553844,user_75,campaign_17,click
2024-03-20T14:28:25.553846,user_82,campaign_10,conversion
2024-03-20T14:28:25.553848,user_50,campaign_4,conversion
2024-03-20T14:28:25.553850,user_70,campaign_13,click
2024-03-20T14:28:25.553851,user_85,campaign_10,conversion
2024-03-20T14:28:25.553853,user_54,campaign_9,click
2024-03-20T14:28:25.553855,user_55,campaign_4,click
2024-03-20T14:28:25.553856,user_19,campaign_4,conversion
2024-03-20T14:28:25.553858,user_40,campaign_12,conversion
2024-03-20T14:28:25.553860,user_57,campaign_9,click
2024-03-20T14:28:25.553861,user_30,campaign_13,click
2024-03-20T14:28:25.553863,user_77,campaign_6,click
2024-03-20T14:28:25.553864,user_61,campaign_18,click
2024-03-20T14:28:25.553866,user_74,campaign_2,conversion
2024-03-20T14:28:25.553868,user_58,campaign_19,conversion
2024-03-20T14:28:25.553870,user_45,campaign_13,conversion
2024-03-20T14:28:25.553871,user_87,campaign_9,conversion
2024-03-20T14:28:25.553873,user_59,campaign_9,click
2024-03-20T14:28:25.553875,user_15,campaign_17,click
2024-03-20T14:28:25.553876,user_40,campaign_16,conversion
2024-03-20T14:28:25.553878,user_68,campaign_11,conversion
2024-03-20T14:28:25.553880,user_71,campaign_8,conversion
2024-03-20T14:28:25.553881,user_28,campaign_2,conversion
2024-03-20T14:28:25.553883,user_72,campaign_20,conversion
2024-03-20T14:28:25.553885,user_91,campaign_16,conversion
2024-03-20T14:28:25.553886,user_93,campaign_7,conversion
2024-03-20T14:28:25.553888,user_93,campaign_16,conversion
2024-03-20T14:28:25.553890,user_67,campaign_20,conversion
2024-03-20T14:28:25.553892,user_68,campaign_20,click
2024-03-20T14:28:25.553893,user_87,campaign_11,click
2024-03-20T14:28:25.553895,user_69,campaign_12,conversion
2024-03-20T14:28:25.553897,user_16,campaign_12,click
2024-03-20T14:28:25.553899,user_45,campaign_3,click
2024-03-20T14:28:25.553900,user_19,campaign_20,click
2024-03-20T14:28:25.553902,user_71,campaign_6,conversion
2024-03-20T14:28:25.553903,user_8,campaign_4,conversion
2024-03-20T14:28:25.553905,user_82,campaign_14,click
2024-03-20T14:28:25.553907,user_94,campaign_16,conversion
2024-03-20T14:28:25.553909,user_85,campaign_13,conversion
2024-03-20T14:28:25.553910,user_6,campaign_3,conversion
2024-03-20T14:28:25.553912,user_2,campaign_7,click
2024-03-20T14:28:25.553914,user_10,campaign_12,conversion
2024-03-20T14:28:25.553916,user_99,campaign_9,click
2024-03-20T14:28:25.553917,user_61,campaign_13,conversion
2024-03-20T14:28:25.553919,user_75,campaign_19,conversion
2024-03-20T14:28:25.553921,user_3,campaign_10,click
2024-03-20T14:28:25.553922,user_9,campaign_8,click
2024-03-20T14:28:25.553924,user_81,campaign_10,conversion
2024-03-20T14:28:25.553926,user_57,campaign_8,conversion
2024-03-20T14:28:25.553927,user_56,campaign_1,click
2024-03-20T14:28:25.553929,user_43,campaign_10,click
2024-03-20T14:28:25.553931,user_80,campaign_1,conversion
2024-03-20T14:28:25.553932,user_67,campaign_18,conversion
2024-03-20T14:28:25.553935,user_6,campaign_14,click
2024-03-20T14:28:25.553936,user_13,campaign_9,click
2024-03-20T14:28:25.553938,user_29,campaign_6,conversion
2024-03-20T14:28:25.553940,user_62,campaign_6,conversion
2024-03-20T14:28:25.553941,user_44,campaign_11,click
2024-03-20T14:28:25.553943,user_99,campaign_1,click
2024-03-20T14:28:25.553945,user_78,campaign_11,conversion
2024-03-20T14:28:25.553946,user_50,campaign_17,conversion
2024-03-20T14:28:25.553948,user_9,campaign_17,click
2024-03-20T14:28:25.553950,user_55,campaign_20,click
2024-03-20T14:28:25.553951,user_69,campaign_12,conversion
2024-03-20T14:28:25.553953,user_98,campaign_14,click
2024-03-20T14:28:25.553955,user_59,campaign_2,conversion
2024-03-20T14:28:25.553956,user_30,campaign_11,conversion
2024-03-20T14:28:25.553958,user_19,campaign_19,conversion
2024-03-20T14:28:25.553960,user_57,campaign_14,click
2024-03-20T14:28:25.553962,user_70,campaign_14,conversion
2024-03-20T14:28:25.553963,user_89,campaign_2,click
2024-03-20T14:28:25.553965,user_15,campaign_16,click
2024-03-20T14:28:25.553966,user_19,campaign_8,click
2024-03-20T14:28:25.553968,user_14,campaign_19,click
2024-03-20T14:28:25.553970,user_71,campaign_4,conversion
2024-03-20T14:28:25.553971,user_75,campaign_7,conversion
